この際 委員の異動について御報告 いたします , おはようございます
今回 特別 防衛 監察 を するに当たって 監察 本部 が 様々な 形で 事情 を 聞いた ということは 報告を受けて おります し そして それぞれの 該当 する 方々が 真摯に お答え された ということ なんだと思います , 全く 答えていない
お答えいたします , 違います
 七月 十九日 に 防衛大臣 に対しまして 二月 十三日 に 陸 自 に 電子 データ が 保管 されていた と 報告 がなされて いた と の 報道 等 があった ことから 手 書き メモ の内容 等について も 大臣 を含めた 関係者 に 確認 を行い また 収集 した 様々な 資料 等 も 分析 しております , この メモ の 存在 を確認 する 意味 が ないと 今おっしゃった んですね
 そういうこと でございますので その 報道 を受けまして 改めて 手 書き メモ の作成 者 等 を確認 する 意味 はない と 考えておりまして 改めて 確認 しておりません , ということは 存 否 は 確認 していない わけですね
失礼いたしました , 確認 していない ということは 存 否 について 存在 するか しない か も 確認 していない ということですね
失礼いたしました , 確認 しない と言った と思った ら 今度は 確認した けれども 存 否 を 明らかに できない
恐らく 今の 御指摘 は 報道 に 出た メモ の議論 をされている んだと思います , もう 大臣も 残念ながら 消 極 的 だということ が 分かりました
お答えいたします , 違います
 再度 同じ 答弁 になる かもしれませんが この 審議会 における 審査 の 開催 につきましては 公平 公正な 審査 環境 を確保する という観点から この 会議 の 開催 日程 も含めて 非 公表 と いたしております の であった かどうかということ は お答え できません , あった か なかった か 答え できない の に 何で これ 報道 出ている と 副大臣 は お 思い ですか
 あくまでも これは 報道 ベースで 出た 内容 でございまして 我々 といたしまして 行政 の立場から 申し上げ させていただきます と この 会議 が 開催 された かどうかということ は 正式に コメントする ことは お答え し かね ますので よろしくお願いいたします , 実は 大学 設置 分科会 審査 運営 内 規 というのが ありまして それ による と 第五条 は 「 前 条 に 規定 する 組織 の 構成員 は 審査 が 終了 する までの間 は 審査 の 過程 において 取得 した 一切 の 情報を 口 頭 及び その他の 手段 を用いて 漏 ら さない ものと する
 報道 に 出た 過程 につきましては どこ から 報道 に 出た かということ も含めまして 存じ上げて おりません , もう一回 聞きます
 改 め させていただきまして もう一度 お答えさせていただきます , 公正 公平 な 観点から 加計学園 の 獣医学部 の設置 について 国家戦略特区 の中で 公正 で ないという 疑義 が 今 生じて いる から これだけ 問題 になっている んじゃないんですか
